asset,location,location_symbol
TRUMP,NULL,TRUMP
MELANIA,NULL,MELANIA
eip155:1/erc20:0xb01dd87B29d187F3E3a4Bf6cdAebfb97F3D9aB98,NULL,BOLD
SAROS,bybit,SAROS
eip155:1/erc20:0xD71eCFF9342A5Ced620049e616c5035F1dB98620,bybit,SEUR
SONIC,NULL,S
eip155:1/erc20:0x033BbDe722EA3Cdcec73cFFEA6581DF9F9C257de,bybit,VELAR
eip155:1/erc20:0xd8F1460044925d2D5c723C7054cd9247027415B7,bybit,SAIL
eip155:1/erc20:0x8fc17671D853341D9e8B001F5Fc3C892d09CB53A,bybit,BLOCK
eip155:8453/erc20:0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,kraken,EURC
PENGU,kraken,PENGU
BNB,kraken,BNB
eip155:1/erc20:0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,kraken,LQTY
GRIFFAIN,kraken,GRIFFAIN
eip155:8453/erc20:0x4ed4E862860beD51a9570b96d89aF5E1B0Efefed,kraken,DEGEN
BLAST,kraken,BLAST
eip155:1/erc20:0x0a6E7Ba5042B38349e437ec6Db6214AEC7B35676,kraken,SWELL
eip155:1/erc20:0x8dF723295214Ea6f21026eeEb4382d475f146F9f,kraken,EURQ
eip155:1/erc20:0x6De037ef9aD2725EB40118Bb1702EBb27e4Aeb24,kraken,RNDR
PONKE,kraken,PONKE
CHILLGUY,kraken,CHILLGUY
HMSTR,kraken,HMSTR
eip155:8453/erc20:0xAC1Bd2486aAf3B5C0fc3Fd868558b082a531B2B4,coinbase,TOSHI
CORE-2,coinbase,CORECHAIN
GRASS,kraken,GRASS
AI16Z,kraken,AI16Z
POPCAT,kraken,POPCAT
STRD,kraken,STRD
